price,year,mileage,tax,steering,condition,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,fuel consumption city/highway/combined,ecological,co2,engine capacity,boost type,cylinders,cylinder,compression,engine model,timing
2 150 000 ₽,2012,243 000 км,18 375 ₽ / год,Левый,Не требует ремонта,3 или более,Volkswagen,3.0,245,Автомат,Дизельный,ДТ,Полный,7.6,7.4,Германия,E,5,4795,1940,1709,2893,195,235/65 R17,85,2860,8,220,8.8/6.5/7.4,Euro 5,189,2967,Турбонаддув,6,4,16.8,nan,DOHC
740 000 ₽,2012,159 013 км,4 930 ₽ / год,Левый,Не требует ремонта,3 или более,Volvo,2.0,145,Робот,Бензиновый,АИ-95,Передний,9.8,8.1,Швеция,C,5,4476,1770,1454,2640,135,"205/50 R17, 205/55 R16",55,1880,6,205,11.6/6.3/8.1,nan,nan,1999,нет,4,4,10.8,b4204s3,DOHC
650 000 ₽,2007,285 000 км,4 624 ₽ / год,Левый,Не требует ремонта,3 или более,BMW,2.0,136,Автомат,Бензиновый,АИ-95,Задний,10.1,7.6,Германия,C,5,4239,1748,1421,2600,145,"185/60 R16, 195/55 R16, 205/50 R17, 205/55 R16",50,1800,6,204,10.7/5.8/7.6,Euro 5,nan,1995,нет,4,4,10.5,N46B20,DOHC
3 900 000 ₽,2018,111 000 км,8 370 ₽ / год,Левый,Не требует ремонта,1 владелец,SsangYong,2.2,181,Автомат,Дизельный,ДТ,Полный,10.8,8.1,Южная Корея,J,"5, 7",4850,1960,1825,2865,203,235/70 R17,70,2860,7,185,10.2/6.9/8.1,Euro 6,213,2157,Турбонаддув,4,4,15.5,e-XDi 220,DOHC
1 980 000 ₽,2022,69 000 км,4 440 ₽ / год,Левый,Не требует ремонта,2 владельца,Kia,2.0,149,Вариатор,Бензиновый,АИ-92,Передний,9.6,6.8,Южная Корея,B,5,4370,1800,1615,2630,185,"205/60 R16, 215/55 R17",50,1890,nan,190,8.8/5.6/6.8,Euro 5,157,1999,нет,4,4,12.5,G4KD,DOHC
2 549 999 ₽,2021,81 000 км,17 775 ₽ / год,Левый,Не требует ремонта,1 владелец,Geely,2.0,238,Автомат,Бензиновый,АИ-95,Полный,6.9,8.1,Китай,C,5,4605,1878,1643,2700,204,"235/50 R19, 245/45 R20",54,2115,8,210,11.4/6.3/8.1,Euro 5,nan,1969,Турбонаддув,4,4,10.8,JLH-4G20TDB,DOHC
1 650 000 ₽,2012,248 000 км,44 850 ₽ / год,Левый,Не требует ремонта,3 или более,Audi,3.0,300,Робот,Бензиновый,АИ-95,Полный,5.6,8.2,Германия,E,"4, 5",4969,1911,1420,2914,120,"265/35 R20, 255/45 R18, 235/45 R19, 255/40 R19",65,2320,7,250,10.8/6.6/8.2,Euro 5,190,2995,Компрессор,6,4,10.3,nan,DOHC
4 672 781 ₽,2024,11 000 км,14 700 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,2.0,245,Автомат,Бензиновый,АИ-92,Полный,10.0,10.8,Китай,J,5,4790,1940,1895,2760,230,265/65 R17,85,2680,8,180,-/-/10.8,Euro 6,nan,1967,Турбонаддув,4,4,11,HY4C20C,DOHC
2 880 401 ₽,2021,30 000 км,14 940 ₽ / год,Левый,Не требует ремонта,1 владелец,Land,2.0,249,Автомат,Бензиновый,АИ-95,Полный,7.6,8.2,Великобритания,D,"5, 7",4597,2069,1727,2741,212,"235/55 R19, 235/60 R18",67,2550,9,225,-/-/8.2,Euro 6,183,1997,Турбонаддув,4,4,10.5,nan,DOHC
3 921 760 ₽,2021,15 000 км,13 200 ₽ / год,Левый,Не требует ремонта,1 владелец,Volkswagen,2.0,220,Робот,Бензиновый,АИ-95,Полный,8.4,8.7,Германия,E,7,5052,1989,1773,2980,198,"245/60 R18, 255/50 R20, 265/45 R21",70,2680,7,200,-/6.8/8.7,Euro 5,234,1984,Турбонаддув,4,4,9.6,nan,DOHC
