price,year,mileage,tax,steering,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,ecological,co2,engine capacity,cylinders,cylinder,compression,fuel consumption city,fuel consumption highway,fuel consumption combined,log_price
750000.0,2013.0,84974.0,3780.0,Левый,3.0,Citroen,1.6,120.0,Автомат,Бензиновый,АИ-95,Передний,12.8,7.1,Франция,C,5.0,4621.0,1789.0,1496.0,2708.0,176.0,R16,60.0,1815.0,4.0,181.0,Euro 5,164.0,1598.0,4.0,4.0,11.0,9.9,5.6,7.1,13.527829818844937
1450000.0,2015.0,210000.0,39300.0,Левый,1.0,Infiniti,3.5,262.0,Вариатор,Бензиновый,АИ-95,Полный,8.4,10.7,Япония,E,7.0,4990.0,1960.0,1742.0,2900.0,187.0,R18,74.0,2680.0,,190.0,Euro 0,,3498.0,6.0,4.0,10.3,14.4,8.5,10.7,14.187074804051692
2700000.0,2023.0,25500.0,8550.0,Левый,2.0,GAC,2.0,190.0,Автомат,Бензиновый,АИ-92,Полный,,8.7,Китай,E,7.0,4836.0,1910.0,1770.0,2800.0,162.0,R19,65.0,2515.0,6.0,,Euro 5,,1991.0,4.0,4.0,9.6,11.5,6.8,8.7,14.80876270134486
1099000.0,2016.0,95778.0,3875.0,Левый,1.0,Hyundai,1.6,123.0,Автомат,Бензиновый,АИ-92,Передний,11.2,6.5,Южная Корея,B,5.0,4120.0,1700.0,1470.0,2570.0,160.0,R16,43.0,1565.0,6.0,185.0,Euro 4,155.0,1591.0,4.0,4.0,10.5,8.8,5.2,6.5,13.909912143303451
4850000.0,2022.0,12253.0,17325.0,Левый,1.0,Mazda,2.5,231.0,Автомат,Бензиновый,АИ-95,Полный,8.6,8.9,Япония,E,7.0,5075.0,1969.0,1747.0,2930.0,220.0,R18,74.0,2562.0,6.0,210.0,Euro 0,,2488.0,4.0,4.0,10.5,,,8.9,15.394489469099211
1680000.0,2019.0,88000.0,3749.0,Левый,1.0,Opel,1.5,120.0,Автомат,Дизельный,ДТ,Передний,11.5,4.0,Германия,B,5.0,4212.0,1825.0,1605.0,2604.0,200.0,R17,45.0,1790.0,6.0,183.0,Euro 6,105.0,1499.0,4.0,4.0,16.5,4.4,3.8,4.0,14.33430494661736
705000.0,2011.0,214000.0,4725.0,Левый,3.0,Volkswagen,1.4,150.0,Робот,Бензиновый,АИ-95,Передний,8.6,6.0,Германия,C,5.0,4644.0,1778.0,1482.0,2651.0,160.0,R16,55.0,1870.0,7.0,215.0,Euro 5,139.0,1390.0,4.0,4.0,10.0,7.5,5.2,6.0,13.465954500233115
1750000.0,2012.0,243000.0,18300.0,Левый,2.0,Audi,3.0,245.0,Автомат,Дизельный,ДТ,Полный,7.8,7.4,Германия,E,5.0,5089.0,1983.0,1731.0,3002.0,205.0,R20,100.0,2995.0,8.0,215.0,Euro 0,179.0,2967.0,6.0,4.0,16.8,8.6,6.7,7.4,14.375126917328105
2200000.0,2018.0,58000.0,18525.0,Левый,1.0,Kia,2.0,247.0,Автомат,Бензиновый,АИ-95,Полный,6.7,9.2,Южная Корея,D,5.0,4831.0,1869.0,1400.0,2906.0,134.0,,60.0,2185.0,8.0,240.0,Euro 5,210.0,1998.0,4.0,4.0,10.0,12.7,7.2,9.2,14.603968372873895
2200000.0,2023.0,18000.0,3528.0,Левый,1.0,,1.5,116.0,Вариатор,Бензиновый,АИ-92,Передний,,6.9,Китай,B,5.0,4200.0,1760.0,1570.0,2555.0,,R16,48.0,1662.0,,165.0,Euro 0,,1499.0,4.0,4.0,11.0,,,6.9,14.603968372873895
1490000.0,2017.0,130000.0,2250.0,Левый,1.0,,1.5,73.0,Автомат,Гибридный,АИ-95,Передний,11.5,4.7,Япония,C,5.0,3995.0,1694.0,1445.0,2550.0,140.0,R16,36.0,,1.0,169.0,Euro 0,,1497.0,4.0,4.0,13.4,4.4,5.1,4.7,14.214287349062356
495000.0,2013.0,123000.0,3371.0,Левый,1.0,Kia,1.4,107.0,Механика,Бензиновый,АИ-92,Передний,11.5,5.9,Южная Корея,B,5.0,4370.0,1700.0,1470.0,2570.0,160.0,R16,43.0,,5.0,190.0,Euro 4,124.0,1396.0,4.0,4.0,10.5,7.6,4.9,5.9,13.112315061750808
1650000.0,2018.0,119000.0,4694.0,Левый,1.0,Ford,2.5,150.0,Автомат,Бензиновый,АИ-95,Передний,10.7,8.1,США,C,5.0,4531.0,1838.0,1694.0,2690.0,200.0,R17,60.0,,6.0,185.0,Euro 5,,2488.0,4.0,4.0,9.7,11.2,6.4,8.1,14.316286451937186
11300000.0,2022.0,32000.0,63750.0,Левый,1.0,Chevrolet,6.2,426.0,Автомат,Бензиновый,АИ-95,Полный,6.2,14.5,США,J,7.0,5352.0,2057.0,1925.0,3071.0,203254.0,R22,91.0,,10.0,246.0,Euro 0,,6162.0,8.0,2.0,11.5,16.8,12.4,14.5,16.24031337217814
580000.0,2009.0,249000.0,7200.0,Левый,2.0,Audi,1.8,160.0,Вариатор,Бензиновый,АИ-95,Передний,8.6,7.1,Германия,D,5.0,4703.0,1824.0,1427.0,2808.0,160.0,R19,65.0,1960.0,,225.0,Euro 0,,1798.0,4.0,4.0,9.6,9.9,5.5,7.1,13.270785106659046
